player_id,sleeper_id,player_name,position,team,adp,overall_rank,position_rank_market,canonical_format,source,adp_source_field,retrieved_at,normalized_name,pos_rank
4984,4984,Josh Allen,QB,BUF,1.0,1.0,1.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.437990+00:00,josh allen,1
9221,9221,Jahmyr Gibbs,RB,DET,2.0,2.0,1.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438009+00:00,jahmyr gibbs,1
9509,9509,Bijan Robinson,RB,ATL,3.0,3.0,2.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438014+00:00,bijan robinson,2
4881,4881,Lamar Jackson,QB,BAL,4.0,4.0,2.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438018+00:00,lamar jackson,2
7564,7564,Ja'Marr Chase,WR,CIN,5.0,5.0,1.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438021+00:00,ja marr chase,1
9493,9493,Puka Nacua,WR,LAR,6.0,6.0,2.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438026+00:00,puka nacua,2
9488,9488,Jaxon Smith-Njigba,WR,SEA,7.0,7.0,3.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438030+00:00,jaxon smith njigba,3
11564,11564,Drake Maye,QB,NE,8.0,8.0,3.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438034+00:00,drake maye,3
6770,6770,Joe Burrow,QB,CIN,9.0,9.0,4.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438038+00:00,joe burrow,4
4034,4034,Christian McCaffrey,RB,SF,10.0,10.0,3.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438042+00:00,christian mccaffrey,3
7547,7547,Amon-Ra St. Brown,WR,DET,11.0,11.0,4.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438046+00:00,amon ra st brown,4
6813,6813,Jonathan Taylor,RB,IND,12.0,12.0,4.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438050+00:00,jonathan taylor,4
11560,11560,Caleb Williams,QB,CHI,13.0,13.0,5.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438053+00:00,caleb williams,5
6786,6786,CeeDee Lamb,WR,DAL,14.0,14.0,5.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438057+00:00,ceedee lamb,5
6794,6794,Justin Jefferson,WR,MIN,15.0,15.0,6.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438061+00:00,justin jefferson,6
6904,6904,Jalen Hurts,QB,PHI,16.0,16.0,6.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438065+00:00,jalen hurts,6
11566,11566,Jayden Daniels,QB,WAS,17.0,17.0,7.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438069+00:00,jayden daniels,7
8138,8138,James Cook,RB,BUF,18.0,18.0,5.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438072+00:00,james cook,5
9226,9226,De'Von Achane,RB,MIA,19.0,19.0,6.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438076+00:00,de von achane,6
11604,11604,Brock Bowers,TE,LV,20.0,20.0,1.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438080+00:00,brock bowers,1
8130,8130,Trey McBride,TE,ARI,21.0,21.0,2.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438084+00:00,trey mcbride,2
12527,12527,Ashton Jeanty,RB,LV,22.0,22.0,7.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438087+00:00,ashton jeanty,7
6797,6797,Justin Herbert,QB,LAC,23.0,23.0,8.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438091+00:00,justin herbert,8
7523,7523,Trevor Lawrence,QB,JAX,24.0,24.0,9.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438095+00:00,trevor lawrence,9
12507,12507,Omarion Hampton,RB,LAC,25.0,25.0,8.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438099+00:00,omarion hampton,8
9224,9224,Chase Brown,RB,CIN,26.0,26.0,9.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438102+00:00,chase brown,9
4866,4866,Saquon Barkley,RB,PHI,27.0,27.0,10.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438106+00:00,saquon barkley,10
8112,8112,Drake London,WR,ATL,28.0,28.0,7.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438109+00:00,drake london,7
4046,4046,Patrick Mahomes,QB,KC,29.0,29.0,10.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438112+00:00,patrick mahomes,10
5859,5859,A.J. Brown,WR,NE,30.0,30.0,8.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438116+00:00,a j brown,8
8151,8151,Kenneth Walker,RB,KC,31.0,31.0,11.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438120+00:00,kenneth walker,11
7569,7569,Nico Collins,WR,HOU,32.0,32.0,9.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438124+00:00,nico collins,9
8137,8137,George Pickens,WR,DAL,33.0,33.0,10.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438128+00:00,george pickens,10
11632,11632,Malik Nabers,WR,NYG,34.0,34.0,11.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438131+00:00,malik nabers,11
12508,12508,Jaxson Dart,QB,NYG,35.0,35.0,11.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438135+00:00,jaxson dart,11
11563,11563,Bo Nix,QB,DEN,36.0,36.0,12.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438138+00:00,bo nix,12
3198,3198,Derrick Henry,RB,BAL,37.0,37.0,12.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438141+00:00,derrick henry,12
3294,3294,Dak Prescott,QB,DAL,38.0,38.0,13.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438145+00:00,dak prescott,13
8183,8183,Brock Purdy,QB,SF,39.0,39.0,14.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438148+00:00,brock purdy,14
421,421,Matthew Stafford,QB,LAR,40.0,40.0,15.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438152+00:00,matthew stafford,15
13287,13287,Jeremiyah Love,RB,ARI,41.0,41.0,13.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438155+00:00,jeremiyah love,13
4892,4892,Baker Mayfield,QB,TB,42.0,42.0,16.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438159+00:00,baker mayfield,16
8144,8144,Chris Olave,WR,NO,43.0,43.0,12.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438162+00:00,chris olave,12
6804,6804,Jordan Love,QB,GB,44.0,44.0,17.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438165+00:00,jordan love,17
12517,12517,Colston Loveland,TE,CHI,45.0,45.0,3.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438169+00:00,colston loveland,3
12545,12545,Tyler Shough,QB,NO,46.0,46.0,18.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438173+00:00,tyler shough,18
5850,5850,Josh Jacobs,RB,GB,47.0,47.0,14.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438176+00:00,josh jacobs,14
6801,6801,Tee Higgins,WR,CIN,48.0,48.0,13.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438180+00:00,tee higgins,13
10229,10229,Rashee Rice,WR,KC,49.0,49.0,14.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438183+00:00,rashee rice,14
7525,7525,DeVonta Smith,WR,PHI,50.0,50.0,15.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438186+00:00,devonta smith,15
8150,8150,Kyren Williams,RB,LAR,51.0,51.0,15.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438190+00:00,kyren williams,15
7588,7588,Javonte Williams,RB,DAL,52.0,52.0,16.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438193+00:00,javonte williams,16
9997,9997,Zay Flowers,WR,BAL,53.0,53.0,16.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438197+00:00,zay flowers,16
12518,12518,Tyler Warren,TE,IND,54.0,54.0,4.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438200+00:00,tyler warren,4
12514,12514,Emeka Egbuka,WR,TB,55.0,55.0,17.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438204+00:00,emeka egbuka,17
3163,3163,Jared Goff,QB,DET,56.0,56.0,19.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438207+00:00,jared goff,19
5849,5849,Kyler Murray,QB,MIN,57.0,57.0,20.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438210+00:00,kyler murray,20
12526,12526,Tetairoa McMillan,WR,CAR,58.0,58.0,18.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438214+00:00,tetairoa mcmillan,18
12522,12522,Cam Ward,QB,TEN,59.0,59.0,21.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438218+00:00,cam ward,21
9758,9758,C.J. Stroud,QB,HOU,60.0,60.0,22.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438222+00:00,c j stroud,22
11635,11635,Ladd McConkey,WR,LAC,61.0,61.0,19.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438225+00:00,ladd mcconkey,19
8155,8155,Breece Hall,RB,NYJ,62.0,62.0,17.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438228+00:00,breece hall,17
12481,12481,Cam Skattebo,RB,NYG,63.0,63.0,18.0,sf_standard,FantasyCalc,overallRank,2026-08-19T03:01:47.438232+00:00,cam skattebo,18
