spec_id,model_name,metric_mode,replacement_method,utility_transform,weight_power,composite_score,weighted_mae,spearman,top_24_overlap,top_50_overlap,top_100_overlap
spec_03,Curve + Starter VORP,vorp,starter_demand,neg_log,1.0,12.863692961122963,9.736617647639068,0.9699532508612679,0.90625,0.9216666666666667,0.9616666666666666
spec_06,Curve + Starter VORP,vorp,starter_demand,neg_log,1.5,14.155206341608993,10.886148391596059,0.9649410217633377,0.90625,0.9233333333333333,0.9575
spec_01,No Adjustment,none,starter_demand,neg_log,1.0,14.932964858964025,9.692481812449332,0.9490032365172293,0.8472222222222222,0.85,0.9066666666666666
spec_04,Curve + Roster VORP,vorp,historical_roster,neg_log,1.0,20.32459458320521,14.784335590292748,0.9369125690148437,0.8541666666666666,0.8450000000000001,0.9041666666666667
spec_07,Curve + Roster VORP,vorp,historical_roster,neg_log,1.5,21.81692485790528,16.11901702270553,0.9342643265694205,0.8472222222222222,0.8466666666666667,0.9008333333333334
spec_02,Curve Only,expected_ppg,starter_demand,neg_log,1.0,22.216251245875196,16.210696944468648,0.9402720614087251,0.8263888888888888,0.8250000000000001,0.895
spec_05,Curve Only,expected_ppg,starter_demand,neg_log,1.5,24.17062462994878,18.001068090606662,0.9371786955245417,0.8229166666666666,0.8233333333333334,0.8891666666666667
spec_09,Curve + Starter VORP,vorp,starter_demand,inverse_adp,1.0,83.05368739387029,50.36971324444147,0.23628390234653626,0.3506944444444444,0.36833333333333335,0.5191666666666667
spec_13,Curve + Roster VORP,vorp,historical_roster,inverse_adp,1.5,87.19647109827308,62.537225614739135,0.5206838305209205,0.3958333333333333,0.4816666666666667,0.6516666666666667
spec_08,Curve Only,expected_ppg,starter_demand,inverse_adp,1.0,96.9437291299047,73.98542290919609,0.4757797217981559,0.5590277777777778,0.5766666666666667,0.6308333333333334
spec_11,Curve Only,expected_ppg,starter_demand,inverse_adp,1.5,99.14517345001912,73.29971689719986,0.3897769574379617,0.5277777777777778,0.5333333333333333,0.5750000000000001
spec_12,Curve + Starter VORP,vorp,starter_demand,inverse_adp,1.5,111.98500496948395,76.4625920293103,0.2090041157752418,0.20486111111111113,0.3183333333333333,0.505
spec_10,Curve + Roster VORP,vorp,historical_roster,inverse_adp,1.0,199.71873791487405,177.32205945314544,0.5748063253620926,0.4375,0.5233333333333333,0.6974999999999999
