position,intercept,coefficient,metric_name,utility_transform,weight_power,environment_key,model_name,replacement_method
QB,-4.699910849995316,0.12787276714070245,vorp,neg_log,1.0,1qb_half_ppr,Curve + Starter VORP,starter_demand
RB,-4.817903774035091,0.37111394092884403,vorp,neg_log,1.0,1qb_half_ppr,Curve + Starter VORP,starter_demand
TE,-4.713610301406837,0.3089758442929395,vorp,neg_log,1.0,1qb_half_ppr,Curve + Starter VORP,starter_demand
WR,-4.697211149912717,0.3683153722753146,vorp,neg_log,1.0,1qb_half_ppr,Curve + Starter VORP,starter_demand
QB,-4.67450734585893,0.1236220367683704,vorp,neg_log,1.0,1qb_ppr,Curve + Starter VORP,starter_demand
RB,-4.773412455454987,0.3378997629840299,vorp,neg_log,1.0,1qb_ppr,Curve + Starter VORP,starter_demand
TE,-4.643043289015661,0.25513393549677643,vorp,neg_log,1.0,1qb_ppr,Curve + Starter VORP,starter_demand
WR,-4.746491006629309,0.30999782341163673,vorp,neg_log,1.0,1qb_ppr,Curve + Starter VORP,starter_demand
QB,-4.9658247755056415,0.2078021645505143,vorp,neg_log,1.0,sf_half_ppr,Curve + Starter VORP,starter_demand
RB,-4.871578439646963,0.3514826164779294,vorp,neg_log,1.0,sf_half_ppr,Curve + Starter VORP,starter_demand
TE,-4.549955272623421,0.292965037638755,vorp,neg_log,1.0,sf_half_ppr,Curve + Starter VORP,starter_demand
WR,-4.736517533106153,0.3493317471011426,vorp,neg_log,1.0,sf_half_ppr,Curve + Starter VORP,starter_demand
QB,-4.870699134569357,0.19631375994456887,vorp,neg_log,1.0,sf_ppr,Curve + Starter VORP,starter_demand
RB,-4.829376630172236,0.32438910462787546,vorp,neg_log,1.0,sf_ppr,Curve + Starter VORP,starter_demand
TE,-4.460511511564872,0.23853746099620543,vorp,neg_log,1.0,sf_ppr,Curve + Starter VORP,starter_demand
WR,-4.743279497672639,0.2926967950776971,vorp,neg_log,1.0,sf_ppr,Curve + Starter VORP,starter_demand
