spec_id,model_name,metric_mode,replacement_method,utility_transform,weight_power,composite_score,weighted_mae,spearman,top_24_overlap,top_50_overlap,top_100_overlap
spec_03,Curve + Starter VORP,vorp,starter_demand,neg_log,1.0,11.399196283577126,8.52742344105353,0.9731766982473681,0.9097222222222222,0.93,0.9700000000000001
spec_06,Curve + Starter VORP,vorp,starter_demand,neg_log,1.5,12.616675765364272,9.627015657045527,0.9679207518716774,0.9097222222222222,0.9366666666666666,0.965
spec_01,No Adjustment,none,starter_demand,neg_log,1.0,14.2716972143943,9.10493377687905,0.9523426003546863,0.8472222222222222,0.8466666666666667,0.9066666666666666
spec_04,Curve + Roster VORP,vorp,historical_roster,neg_log,1.0,19.74632580389975,13.931510216927661,0.929252320138045,0.8472222222222222,0.8433333333333334,0.8983333333333333
spec_02,Curve Only,expected_ppg,starter_demand,neg_log,1.0,19.78320563543143,14.722710365118045,0.9533818611735242,0.8541666666666666,0.8533333333333334,0.9116666666666666
spec_07,Curve + Roster VORP,vorp,historical_roster,neg_log,1.5,21.088790952663434,15.168155832385986,0.9273810268730373,0.8402777777777777,0.8466666666666667,0.8983333333333333
spec_05,Curve Only,expected_ppg,starter_demand,neg_log,1.5,21.486086812393115,16.411905142982977,0.9521864620089634,0.8541666666666666,0.8566666666666668,0.91
spec_09,Curve + Starter VORP,vorp,starter_demand,inverse_adp,1.0,71.3369573190334,40.120605783849236,0.2581324423367497,0.40972222222222227,0.37333333333333335,0.5683333333333334
spec_13,Curve + Roster VORP,vorp,historical_roster,inverse_adp,1.5,86.67948784212314,62.90974412510337,0.5294273193804888,0.4375,0.5,0.6566666666666666
spec_11,Curve Only,expected_ppg,starter_demand,inverse_adp,1.5,87.05585251781802,61.73061738900097,0.37724782105853977,0.5555555555555555,0.5666666666666667,0.6016666666666667
spec_12,Curve + Starter VORP,vorp,starter_demand,inverse_adp,1.5,112.40605524513984,77.70868418340314,0.2217881150069548,0.22222222222222224,0.3333333333333333,0.5483333333333333
spec_08,Curve Only,expected_ppg,starter_demand,inverse_adp,1.0,113.87644078282524,91.71855241124605,0.4790811404044599,0.5763888888888888,0.61,0.6699999999999999
spec_10,Curve + Roster VORP,vorp,historical_roster,inverse_adp,1.0,138.05465014180115,117.10013804237416,0.5976118055724121,0.5,0.5366666666666667,0.71
